title,abstract,year,venue,publisher,url,authors,contribution type,annotator,citation style,citation modality,citation visibility,citation term,task name,evidence level,citation frequency,multilinguality,parametric,non-parametric,prompting,pre-training,fine-tuning,task,dataset,evaluation
Improving Retrieval Augmented Language Model with Self-Reasoning,"The Retrieval-Augmented Language Model (RALM) has shown remarkable performance on knowledge-intensive tasks by incorporating external knowledge during inference, which mitigates the factual hallucinations inherited in large language models (LLMs). Despite these advancements, challenges persist in the implementation of RALMs, particularly concerning their reliability and traceability. To be specific, the irrelevant document retrieval may result in unhelpful response generation or even deteriorate the performance of LLMs, while the lack of proper citations in generated outputs complicates efforts to verify the trustworthiness of the models. To this end, we propose a novel self-reasoning framework aimed at improving the reliability and traceability of RALMs, whose core idea is to leverage reasoning trajectories generated by the LLM itself. The framework involves constructing self-reason trajectories with three processes: a relevance-aware process, an evidence-aware selective process, and a trajectory analysis process. We have evaluated our framework across four public datasets (two short-form QA datasets, one long-form QA dataset, and one fact verification dataset) to demonstrate the superiority of our method, which can outperform existing state-of-the-art models and can achieve comparable performance with GPT-4, while only using 2,000 training samples.",2024,arxiv,arxiv,https://arxiv.org/abs/2407.19813,"Yuan Xia,  Jingbo Zhou,  Zhenhui Shi,  Jun Chen,  Haifeng Huang",approach,A,in-line citations,text,intermediate text,citation,no,paragraph,multiple,no,no,post-retrieval,"zero-shot, few-shot",no,supervised fine-tuning,question answering,"NaturalQuestions, PopQA, FEVER, ASQA","EM Recall, Citation Recall NLI, Citation Precision NLI, Accuracy QA, Verification Accuracy"
A RAG-Based Question-Answering Solution for Cyber-Attack Investigation and Attribution,"In the constantly evolving field of cybersecurity, it is imperative for analysts to stay abreast of the latest attack trends and pertinent information that aids in the investigation and attribution of cyber-attacks. In this work, we introduce the first question-answering (QA) model and its application that provides information to the cybersecurity experts about cyber-attacks investigations and attribution. Our QA model is based on Retrieval Augmented Generation (RAG) techniques together with a Large Language Model (LLM) and provides answers to the users' queries based on either our knowledge base (KB) that contains curated information about cyber-attacks investigations and attribution or on outside resources provided by the users. We have tested and evaluated our QA model with various types of questions, including KB-based, metadata-based, specific documents from the KB, and external sources-based questions. We compared the answers for KB-based questions with those from OpenAI's GPT-3.5 and the latest GPT-4o LLMs. Our proposed QA model outperforms OpenAI's GPT models by providing the source of the answers and overcoming the hallucination limitations of the GPT models, which is critical for cyber-attack investigation and attribution. Additionally, our analysis showed that when the RAG QA model is given few-shot examples rather than zero-shot instructions, it generates better answers compared to cases where no examples are supplied in addition to the query.",2024,arxiv,arxiv,https://arxiv.org/abs/2408.06272,"Sampath Rajapaksha,  Ruby Rani,  and Erisa Karafili","application, resource",A,citation report,text,final response,attribution,cyber-attack attribution,document,single,no,pure llm,post-retrieval,"zero-shot, few-shot",no,no,question answering,AttackER,RAGAS
LitFM: A Retrieval Augmented Structure-aware Foundation Model For Citation Graphs,"With the advent of large language models (LLMs), managing scientific literature via LLMs has become a promising direction of research. However, existing approaches often overlook the rich structural and semantic relevance among scientific literature, limiting their ability to discern the relationships between pieces of scientific knowledge, and suffer from various types of hallucinations. These methods also focus narrowly on individual downstream tasks, limiting their applicability across use cases. Here we propose LitFM, the first literature foundation model designed for a wide variety of practical downstream tasks on domain-specific literature, with a focus on citation information. At its core, LitFM contains a novel graph retriever to integrate graph structure by navigating citation graphs and extracting relevant literature, thereby enhancing model reliability. LitFM also leverages a knowledge-infused LLM, fine-tuned through a well-developed instruction paradigm. It enables LitFM to extract domain-specific knowledge from literature and reason relationships among them. By integrating citation graphs during both training and inference, LitFM can generalize to unseen papers and accurately assess their relevance within existing literature. Additionally, we introduce new large-scale literature citation benchmark datasets on three academic fields, featuring sentence-level citation information and local context. Extensive experiments validate the superiority of LitFM, achieving 28.1% improvement on retrieval task in precision, and an average improvement of 7.52% over state-of-the-art across six downstream literature-related tasks",2024,arxiv,arxiv,https://arxiv.org/abs/2409.12177,"Jiasheng Zhang,  Jialin Chen,  Ali Maatouk,  Ngoc Bui,  Qianqian Xie,  Leandros Tassiulas,  Jie Shao,  Hua Xu,  Rex Ying","resource, approach",A,in-line citations,text,final response,citation,no,document,multiple,no,no,post-retrieval,zero-shot,no,supervised fine-tuning,"related work generation, title generation, summarization, citation recommendation, citation link prediction, citation text generation","Zhang-Citation-Graph-Medicine, Zhang-Citation-Graph-Computer-Science, Zhang-Citation-Graph-Physics","Link Prediction Accuracy, Hits@k, BERT-Score, ROUGE-L, Precision@k"
LongCite: Enabling LLMs to Generate Fine-grained Citations in Long-context QA,"Though current long-context large language models (LLMs) have demonstrated impressive capacities in answering user questions based on extensive text, the lack of citations in their responses makes user verification difficult, leading to concerns about their trustworthiness due to their potential hallucinations. In this work, we aim to enable long-context LLMs to generate responses with fine-grained sentence-level citations, improving their faithfulness and verifiability. We first introduce LongBench-Cite, an automated benchmark for assessing current LLMs' performance in Long-Context Question Answering with Citations (LQAC), revealing considerable room for improvement. To this end, we propose CoF (Coarse to Fine), a novel pipeline that utilizes off-the-shelf LLMs to automatically generate long-context QA instances with precise sentence-level citations, and leverage this pipeline to construct LongCite-45k, a large-scale SFT dataset for LQAC. Finally, we train LongCite-8B and LongCite-9B using the LongCite-45k dataset, successfully enabling their generation of accurate responses and fine-grained sentence-level citations in a single output. The evaluation results on LongBench-Cite show that our trained models achieve state-of-the-art citation quality, surpassing advanced proprietary models including GPT-4o.",2024,arxiv,arxiv,https://arxiv.org/abs/2409.02897,"Jiajie Zhang,  Yushi Bai,  Xin Lv,  Wanjun Gu,  Danqing Liu,  Minhao Zou,  Shulin Cao,  Lei Hou,  Yuxiao Dong,  Ling Feng,  Juanzi Li","resource, approach, evaluation",A,in-line citations,text,final response,citation,long-context question answering with citations,"paragraph, sentence",multiple,yes,no,in-context,"zero-shot, few-shot",no,supervised fine-tuning,question answering,"LongBench-Cite, MultifieldQA, HotpotQA, Dureader, GovReport, LongCite-45k","Citation Recall NLI, Citation Precision NLI, Citation F1 NLI, CR"
Evaluating the Impact of a Specialized LLM on Physician Experience in Clinical Decision Support: A Comparison of Ask Avo and ChatGPT-4,"The use of Large language models (LLMs) to augment clinical decision support systems is a topic with rapidly growing interest, but current shortcomings such as hallucinations and lack of clear source citations make them unreliable for use in the clinical environment. This study evaluates Ask Avo, an LLM-derived software by AvoMD that incorporates a proprietary Language Model Augmented Retrieval (LMAR) system, in-built visual citation cues, and prompt engineering designed for interactions with physicians, against ChatGPT-4 in end-user experience for physicians in a simulated clinical scenario environment. Eight clinical questions derived from medical guideline documents in various specialties were prompted to both models by 62 study participants, with each response rated on trustworthiness, actionability, relevancy, comprehensiveness, and friendly format from 1 to 5. Ask Avo significantly outperformed ChatGPT-4 in all criteria: trustworthiness (4.52 vs. 3.34, p<0.001), actionability (4.41 vs. 3.19, p<0.001), relevancy (4.55 vs. 3.49, p<0.001), comprehensiveness (4.50 vs. 3.37, p<0.001), and friendly format (4.52 vs. 3.60, p<0.001). Our findings suggest that specialized LLMs designed with the needs of clinicians in mind can offer substantial improvements in user experience over general-purpose LLMs. Ask Avo's evidence-based approach tailored to clinician needs shows promise in the adoption of LLM-augmented clinical decision support software.",2024,arxiv,arxiv,https://arxiv.org/abs/2409.15326,"Daniel Jung,  Alex Butler,  Joongheum Park,  Yair Saperstein",evaluation,A,in-line citations,text,final response,citation,no,document,no,no,pure llm,in-context,no,no,no,question answering,Jung-Medical,User Study
Enhancing Large Language Models with Domain-specific Retrieval Augment Generation: A Case Study on Long-form Consumer Health Question Answering in Ophthalmology,"Despite the potential of Large Language Models (LLMs) in medicine, they may generate responses lacking supporting evidence or based on hallucinated evidence. While Retrieval Augment Generation (RAG) is popular to address this issue, few studies implemented and evaluated RAG in downstream domain-specific applications. We developed a RAG pipeline with 70,000 ophthalmology-specific documents that retrieve relevant documents to augment LLMs during inference time. In a case study on long-form consumer health questions, we systematically evaluated the responses including over 500 references of LLMs with and without RAG on 100 questions with 10 healthcare professionals. The evaluation focuses on factuality of evidence, selection and ranking of evidence, attribution of evidence, and answer accuracy and completeness. LLMs without RAG provided 252 references in total. Of which, 45.3% hallucinated, 34.1% consisted of minor errors, and 20.6% were correct. In contrast, LLMs with RAG significantly improved accuracy (54.5% being correct) and reduced error rates (18.8% with minor hallucinations and 26.7% with errors). 62.5% of the top 10 documents retrieved by RAG were selected as the top references in the LLM response, with an average ranking of 4.9. The use of RAG also improved evidence attribution (increasing from 1.85 to 2.49 on a 5-point scale, P<0.001), albeit with slight decreases in accuracy (from 3.52 to 3.23, P=0.03) and completeness (from 3.47 to 3.27, P=0.17). The results demonstrate that LLMs frequently exhibited hallucinated and erroneous evidence in the responses, raising concerns for downstream applications in the medical domain. RAG substantially reduced the proportion of such evidence but encountered challenges.",2024,arxiv,arxiv,https://arxiv.org/abs/2409.13902,"Aidan Gilson,  Xuguang Ai,  Thilaka Arunachalam,  Ziyou Chen,  Ki Xiong Cheong,  Amisha Dave,  Cameron Duic,  Mercy Kibe,  Annette Kaminaka,  Minali Prasad,  Fares Siddig,  Maxwell Singer,  Wendy Wong,  Qiao Jin,  Tiarnan D.L. Keenan,  Xia Hu,  Emily Y. Chew,  Zhiyong Lu,  Hua Xu,  Ron A. Adelman,  Yih-Chung Tham,  Qingyu Chen",application,A,citation report,text,final response,attribution,evidence attribution,document,multiple,no,pure llm,post-retrieval,zero-shot,no,no,question answering,Gilson-Health,"Factuality-of-Evidence-3, Relevance-of-Evidence-Retrieval, Reponse-Accuracy-5, Completeness-5, Evidence-Attribution-5"
Neurosymbolic AI approach to Attribution in Large Language Models,"Attribution in large language models (LLMs) remains a significant challenge, particularly in ensuring the factual accuracy and reliability of the generated outputs. Current methods for citation or attribution, such as those employed by tools like Perplexity.ai and Bing Search-integrated LLMs, attempt to ground responses by providing real-time search results and citations. However, so far, these approaches suffer from issues such as hallucinations, biases, surface-level relevance matching, and the complexity of managing vast, unfiltered knowledge sources. While tools like Perplexity.ai dynamically integrate web-based information and citations, they often rely on inconsistent sources such as blog posts or unreliable sources, which limits their overall reliability. We present that these challenges can be mitigated by integrating Neurosymbolic AI (NesyAI), which combines the strengths of neural networks with structured symbolic reasoning. NesyAI offers transparent, interpretable, and dynamic reasoning processes, addressing the limitations of current attribution methods by incorporating structured symbolic knowledge with flexible, neural-based learning. This paper explores how NesyAI frameworks can enhance existing attribution models, offering more reliable, interpretable, and adaptable systems for LLMs.",2024,arxiv,arxiv,https://arxiv.org/abs/2410.03726,"Deepa Tilwani,  Revathy Venkataramanan,  Amit P. Sheth",position,A,citation report,text,final response,"attribution, citation",no,document,no,no,pure llm,in-generation,no,no,no,grounded text generation,no,no
Enhancing Answer Attribution for Faithful Text Generation with Large Language Models,"The increasing popularity of Large Language Models (LLMs) in recent years has changed the way users interact with and pose questions to AI-based conversational systems. An essential aspect for increasing the trustworthiness of generated LLM answers is the ability to trace the individual claims from responses back to relevant sources that support them, the process known as answer attribution. While recent work has started exploring the task of answer attribution in LLMs, some challenges still remain. In this work, we first perform a case study analyzing the effectiveness of existing answer attribution methods, with a focus on subtasks of answer segmentation and evidence retrieval. Based on the observed shortcomings, we propose new methods for producing more independent and contextualized claims for better retrieval and attribution. The new methods are evaluated and shown to improve the performance of answer attribution components. We end with a discussion and outline of future directions for the task.",2024,arxiv,arxiv,https://arxiv.org/abs/2410.17112,"Juraj Vladika,  Luca Mülln,  Florian Matthes",approach,A,citation report,text,final response,attribution,answer attribution,document,single,no,no,post-generation,"zero-shot, few-shot",no,no,question answering,ExpertQA,Accuracy NLI
Atomic Fact Decomposition Helps Attributed Question Answering,"Attributed Question Answering (AQA) aims to provide both a trustworthy answer and a reliable attribution report for a given question. Retrieval is a widely adopted approach, including two general paradigms: Retrieval-Then-Read (RTR) and post-hoc retrieval. Recently, Large Language Models (LLMs) have shown remarkable proficiency, prompting growing interest in AQA among researchers. However, RTR-based AQA often suffers from irrelevant knowledge and rapidly changing information, even when LLMs are adopted, while post-hoc retrieval-based AQA struggles with comprehending long-form answers with complex logic, and precisely identifying the content needing revision and preserving the original intent. To tackle these problems, this paper proposes an Atomic fact decomposition-based Retrieval and Editing (ARE) framework, which decomposes the generated long-form answers into molecular clauses and atomic facts by the instruction-tuned LLMs. Notably, the instruction-tuned LLMs are fine-tuned using a well-constructed dataset, generated from large scale Knowledge Graphs (KGs). This process involves extracting one-hop neighbors from a given set of entities and transforming the result into coherent long-form text. Subsequently, ARE leverages a search engine to retrieve evidences related to atomic facts, inputting these evidences into an LLM-based verifier to determine whether the facts require expansion for re-retrieval or editing. Furthermore, the edited facts are backtracked into the original answer, with evidence aggregated based on the relationship between molecular clauses and atomic facts. Extensive evaluations demonstrate the superior performance of our proposed method over the state-of-the-arts on several datasets, with an additionally proposed new metric $Attr_{p}$ for evaluating the precision of evidence attribution.",2024,arxiv,arxiv,https://arxiv.org/abs/2410.16708,"Zhichao Yan,  Jiapu Wang,  Jiaoyan Chen,  Xiaoli Li,  Ru Li,  Jeff Z.Pan","approach, evaluation",A,citation report,text,final response,attribution,attributed question answering,sentence,multiple,yes,no,post-generation,"chain-of-thought, few-shot",no,supervised fine-tuning,question answering,"NaturalQuestions, Mintaka, StrategyQA, ExpertQA","Attr_r, Attr_p, Pres-Lev, F1_rp, F1_pp"
A Prompt Engineering Approach and a Knowledge Graph based Framework for Tackling Legal Implications of Large Language Model Answers,"With the recent surge in popularity of Large Language Models (LLMs), there is the rising risk of users blindly trusting the information in the response, even in cases where the LLM recommends actions that have potential legal implications and this may put the user in danger. We provide an empirical analysis on multiple existing LLMs showing the urgency of the problem. Hence, we propose a short-term solution consisting in an approach for isolating these legal issues through prompt re-engineering. We further analyse the outcomes but also the limitations of the prompt engineering based approach and we highlight the need of additional resources for fully solving the problem We also propose a framework powered by a legal knowledge graph (KG) to generate legal citations for these legal issues, enriching the response of the LLM.",2024,arxiv,arxiv,https://arxiv.org/abs/2410.15064,"George Hannah,  Rita T. Sousa,  Ioannis Dasoulas,  Claudia d'Amato",application,A,in-line citations,text,final response,citation,no,paragraph,single,yes,pure llm,post-generation,few-shot,no,no,question answering,no,no
Evaluation of Attribution Bias in Retrieval-Augmented Large Language Models,"Attributing answers to source documents is an approach used to enhance the verifiability of a model's output in retrieval augmented generation (RAG). Prior work has mainly focused on improving and evaluating the attribution quality of large language models (LLMs) in RAG, but this may come at the expense of inducing biases in the attribution of answers. We define and examine two aspects in the evaluation of LLMs in RAG pipelines, namely attribution sensitivity and bias with respect to authorship information. We explicitly inform an LLM about the authors of source documents, instruct it to attribute its answers, and analyze (i) how sensitive the LLM's output is to the author of source documents, and (ii) whether the LLM exhibits a bias towards human-written or AI-generated source documents. We design an experimental setup in which we use counterfactual evaluation to study three LLMs in terms of their attribution sensitivity and bias in RAG pipelines. Our results show that adding authorship information to source documents can significantly change the attribution quality of LLMs by 3% to 18%. Moreover, we show that LLMs can have an attribution bias towards explicit human authorship, which can serve as a competing hypothesis for findings of prior work that shows that LLM-generated content may be preferred over human-written contents. Our findings indicate that metadata of source documents can influence LLMs' trust, and how they attribute their answers. Furthermore, our research highlights attribution bias and sensitivity as a novel aspect of brittleness in LLMs.",2024,arxiv,arxiv,https://arxiv.org/abs/2410.12380,"Amin Abolghasemi,  Leif Azzopardi,  Seyyed Hadi Hashemi,  Maarten de Rijke,  Suzan Verberne",evaluation,A,in-line citations,text,final response,"attribution, citation",attribution generation,paragraph,single,no,no,post-retrieval,zero-shot,no,no,question answering,"Abolghasemi-NaturalQuestions, Abolghasemi-MS MARCO","Citation Recall Retrieval, Citation Precision Retrieval, EM, CAS Recall, CAS Precision, CAB Recall, CAB Precision, AC"
QUILL: Quotation Generation Enhancement of Large Language Models,"While Large language models (LLMs) have become excellent writing assistants, they still struggle with quotation generation. This is because they either hallucinate when providing factual quotations or fail to provide quotes that exceed human expectations. To bridge the gap, we systematically study how to evaluate and improve LLMs' performance in quotation generation tasks. We first establish a holistic and automatic evaluation system for quotation generation task, which consists of five criteria each with corresponding automatic metric. To improve the LLMs' quotation generation abilities, we construct a bilingual knowledge base that is broad in scope and rich in dimensions, containing up to 32,022 quotes. Moreover, guided by our critiria, we further design a quotation-specific metric to rerank the retrieved quotations from the knowledge base. Extensive experiments show that our metrics strongly correlate with human preferences. Existing LLMs struggle to generate desired quotes, but our quotation knowledge base and reranking metric help narrow this gap. Our dataset and code are publicly available at https://github.com/GraceXiaoo/QUILL.",2024,arxiv,arxiv,https://arxiv.org/abs/2411.03675,"Jin Xiao,  Bowei Zhang,  Qianyu He,  Jiaqing Liang,  Feng Wei,  Jinglei Chen,  Zujie Liang,  Deqing Yang,  Yanghua Xiao","resource, evaluation",A,"narrative citations, quote",text,final response,"quote, citation",quotation generation,sentence,single,yes,no,post-retrieval,"zero-shot, few-shot, chain-of-thought",no,no,grounded text generation,Xiao-Quotation,QUILL
Zebra-Llama: A Context-Aware Large Language Model for Democratizing Rare Disease Knowledge,"Rare diseases present unique challenges in healthcare, often suffering from delayed diagnosis and fragmented information landscapes. The scarcity of reliable knowledge in these conditions poses a distinct challenge for Large Language Models (LLMs) in supporting clinical management and delivering precise patient information underscoring the need for focused training on these 'zebra' cases. We present Zebra-Llama, a specialized context-aware language model with high precision Retrieval Augmented Generation (RAG) capability, focusing on Ehlers-Danlos Syndrome (EDS) as our case study. EDS, affecting 1 in 5,000 individuals, exemplifies the complexities of rare diseases with its diverse symptoms, multiple subtypes, and evolving diagnostic criteria. By implementing a novel context-aware fine-tuning methodology trained on questions derived from medical literature, patient experiences, and clinical resources, along with expertly curated responses, Zebra-Llama demonstrates unprecedented capabilities in handling EDS-related queries. On a test set of real-world questions collected from EDS patients and clinicians, medical experts evaluated the responses generated by both models, revealing Zebra-Llama's substantial improvements over base model (Llama 3.1-8B-Instruct) in thoroughness (77.5% vs. 70.1%), accuracy (83.0% vs. 78.8%), clarity (74.7% vs. 72.0%) and citation reliability (70.6% vs. 52.3%). Released as an open-source resource, Zebra-Llama not only provides more accessible and reliable EDS information but also establishes a framework for developing specialized AI solutions for other rare conditions. This work represents a crucial step towards democratizing expert-level knowledge in rare disease management, potentially transforming how healthcare providers and patients navigate the complex landscape of rare diseases.",2024,arxiv,arxiv,https://arxiv.org/abs/2411.02657,"Karthik Soman,  Andrew Langdon,  Catalina Villouta,  Chinmay Agrawal,  Lashaw Salta,  Braian Peetoom,  Gianmarco Bellucci,  Orion J Buske",approach,A,in-line citations,text,final response,citation,no,document,single,no,no,post-retrieval,zero-shot,no,supervised fine-tuning,question answering,"Soman-Train, Soman-Test","Accuracy-2, Thouroughness-2, Clarity-2, Per-Response Citation Accuracy-2, Percentage of Responses with All Correct Citations-2"
"Rate, Explain and Cite (REC): Enhanced Explanation and Attribution in Automatic Evaluation by Large Language Models","LLMs have demonstrated impressive proficiency in generating coherent and high-quality text, making them valuable across a range of text-generation tasks. However, rigorous evaluation of this generated content is crucial, as ensuring its quality remains a significant challenge due to persistent issues such as factual inaccuracies and hallucinations. This paper introduces two fine-tuned general-purpose LLM autoevaluators, REC-12B and REC-70B, specifically designed to evaluate generated text across several dimensions: faithfulness, instruction following, coherence, and completeness. These models not only provide ratings for these metrics but also offer detailed explanations and verifiable citations, thereby enhancing trust in the content. Moreover, the models support various citation modes, accommodating different requirements for latency and granularity. Extensive evaluations on diverse benchmarks demonstrate that our general-purpose LLM auto-evaluator, REC-70B, outperforms state-of-the-art LLMs, excelling in content evaluation by delivering better quality explanations and citations with minimal bias. It achieves Rank \#1 as a generative model on the RewardBench leaderboard\footnote{\url{https://huggingface.co/spaces/allenai/reward-bench}} under the model name \texttt{TextEval-Llama3.1-70B}. Our REC dataset and models are released at \url{https://github.com/adelaidehsu/REC}.",2024,arxiv,arxiv,https://arxiv.org/abs/2411.02448,"Aliyah R. Hsu,  James Zhu,  Zhichao Wang,  Bin Bi,  Shubham Mehrotra,  Shiva K. Pentyala,  Katherine Tan,  Xiang-Bo Mao,  Roshanak Omrani,  Sougata Chaudhuri,  Regunathan Radhakrishnan,  Sitaram Asur,  Claire Na Cheng,  Bin Yu","approach, resource",A,"in-line citations, citation report",text,final response,"attribution, citation",no,sentence,multiple,no,no,post-retrieval,zero-shot,no,supervised fine-tuning,text evaluation,"REC-Data, ALCE, ExpertQA, ABCD, RAG-RewardBench, LLM-AggreFact, CoBBLEr","REC, Auto-AIS-sentence, FActScore, ALCE, Citation F1 NLI"
CORAL: Benchmarking Multi-turn Conversational Retrieval-Augmentation Generation,"Retrieval-Augmented Generation (RAG) has become a powerful paradigm for enhancing large language models (LLMs) through external knowledge retrieval. Despite its widespread attention, existing academic research predominantly focuses on single-turn RAG, leaving a significant gap in addressing the complexities of multi-turn conversations found in real-world applications. To bridge this gap, we introduce CORAL, a large-scale benchmark designed to assess RAG systems in realistic multi-turn conversational settings. CORAL includes diverse information-seeking conversations automatically derived from Wikipedia and tackles key challenges such as open-domain coverage, knowledge intensity, free-form responses, and topic shifts. It supports three core tasks of conversational RAG: passage retrieval, response generation, and citation labeling. We propose a unified framework to standardize various conversational RAG methods and conduct a comprehensive evaluation of these methods on CORAL, demonstrating substantial opportunities for improving existing approaches.",2024,arxiv,arxiv,https://arxiv.org/abs/2410.23090,"Yiruo Cheng,  Kelong Mao,  Ziliang Zhao,  Guanting Dong,  Hongjin Qian, Yongkang Wu,  Tetsuya Sakai,  Ji-Rong Wen,  Zhicheng Dou","resource, evaluation",A,in-line citations,text,final response,"citation, attribution",citation labeling,paragraph,multiple,no,no,post-retrieval,"zero-shot, few-shot",no,supervised fine-tuning,grounded text generation,CORAL,"MRR, MAP, nDCG@k, Recall@k, BLEU-N, ROUGE-L, Citation Recall NLI, Citation Precision NLI"
Evidence Contextualization and Counterfactual Attribution for Conversational QA over Heterogeneous Data with RAG Systems,"Retrieval Augmented Generation (RAG) works as a backbone for interacting with an enterprise's own data via Conversational Question Answering (ConvQA). In a RAG system, a retriever fetches passages from a collection in response to a question, which are then included in the prompt of a large language model (LLM) for generating a natural language (NL) answer. However, several RAG systems today suffer from two shortcomings: (i) retrieved passages usually contain their raw text and lack appropriate document context, negatively impacting both retrieval and answering quality; and (ii) attribution strategies that explain answer generation typically rely only on similarity between the answer and the retrieved passages, thereby only generating plausible but not causal explanations. In this work, we demonstrate RAGONITE, a RAG system that remedies the above concerns by: (i) contextualizing evidence with source metadata and surrounding text; and (ii) computing counterfactual attribution, a causal explanation approach where the contribution of an evidence to an answer is determined by the similarity of the original response to the answer obtained by removing that evidence. To evaluate our proposals, we release a new benchmark ConfQuestions: it has 300 hand-created conversational questions, each in English and German, coupled with ground truth URLs, completed questions, and answers from 215 public Confluence pages. These documents are typical of enterprise wiki spaces with heterogeneous elements. Experiments with RAGONITE on ConfQuestions show the viability of our ideas: contextualization improves RAG performance, and counterfactual explanations outperform standard attribution.",2024,arxiv,arxiv,https://arxiv.org/abs/2412.10571,"Rishiraj Saha Roy,  Joel Schlotthauer,  Chris Hinze,  Andreas Foltyn, Luzian Hahn,  Fabian Kuech","application, resource",A,in-line citations,tabular data,final response,attribution,counterfactual attribution,table,multiple,yes,no,post-retrieval,zero-shot,no,no,grounded text generation,ConfQuestions,"Precision@k, Roy-Answer Relevance, Roy-Attribution Accuracy"
Factuality or Fiction? Benchmarking Modern LLMs on Ambiguous QA with Citations,"Benchmarking modern large language models (LLMs) on complex and realistic tasks is critical to advancing their development. In this work, we evaluate the factual accuracy and citation performance of state-of-the-art LLMs on the task of Question Answering (QA) in ambiguous settings with source citations. Using three recently published datasets-DisentQA-DupliCite, DisentQA-ParaCite, and AmbigQA-Cite-featuring a range of real-world ambiguities, we analyze the performance of two leading LLMs, GPT-4o-mini and Claude-3.5. Our results show that larger, recent models consistently predict at least one correct answer in ambiguous contexts but fail to handle cases with multiple valid answers. Additionally, all models perform equally poorly in citation generation, with citation accuracy consistently at 0. However, introducing conflict-aware prompting leads to large improvements, enabling models to better address multiple valid answers and improve citation accuracy, while maintaining their ability to predict correct answers. These findings highlight the challenges and opportunities in developing LLMs that can handle ambiguity and provide reliable source citations. Our benchmarking study provides critical insights and sets a foundation for future improvements in trustworthy and interpretable QA systems.",2024,arxiv,arxiv,https://arxiv.org/abs/2412.18051,"Maya Patel,  Aditi Anand",evaluation,A,narrative citations,text,final response,citation,citation generation,document,multiple,no,pure llm,no,"zero-shot, conflict-aware prompting",no,no,question answering,"DisentQA-DupliCite, DisentQA-ParaCite, AmbigQA-Cite","Acc_K, A_C"
BioRAGent: A Retrieval-Augmented Generation System for Showcasing Generative Query Expansion and Domain-Specific Search for Scientific Q&A,"We present BioRAGent, an interactive web-based retrieval-augmented generation (RAG) system for biomedical question answering. The system uses large language models (LLMs) for query expansion, snippet extraction, and answer generation while maintaining transparency through citation links to the source documents and displaying generated queries for further editing. Building on our successful participation in the BioASQ 2024 challenge, we demonstrate how few-shot learning with LLMs can be effectively applied for a professional search setting. The system supports both direct short paragraph style responses and responses with inline citations. Our demo is available online, and the source code is publicly accessible through GitHub.",2024,arxiv,arxiv,https://arxiv.org/abs/2412.12358,"Samy Ateia,  Udo Kruschwitz",application,A,in-line citations,text,final response,"citation, attribution",no,document,multiple,no,no,post-retrieval,few-shot,no,no,question answering,BioGen2024-PubMed,no
VisDoM: Multi-Document QA with Visually Rich Elements Using Multimodal Retrieval-Augmented Generation,"Understanding information from a collection of multiple documents, particularly those with visually rich elements, is important for document-grounded question answering. This paper introduces VisDoMBench, the first comprehensive benchmark designed to evaluate QA systems in multi-document settings with rich multimodal content, including tables, charts, and presentation slides. We propose VisDoMRAG, a novel multimodal Retrieval Augmented Generation (RAG) approach that simultaneously utilizes visual and textual RAG, combining robust visual retrieval capabilities with sophisticated linguistic reasoning. VisDoMRAG employs a multi-step reasoning process encompassing evidence curation and chain-of-thought reasoning for concurrent textual and visual RAG pipelines. A key novelty of VisDoMRAG is its consistency-constrained modality fusion mechanism, which aligns the reasoning processes across modalities at inference time to produce a coherent final answer. This leads to enhanced accuracy in scenarios where critical information is distributed across modalities and improved answer verifiability through implicit context attribution. Through extensive experiments involving open-source and proprietary large language models, we benchmark state-of-the-art document QA methods on VisDoMBench. Extensive results show that VisDoMRAG outperforms unimodal and long-context LLM baselines for end-to-end multimodal document QA by 12-20%.",2024,arxiv,arxiv,https://arxiv.org/abs/2412.10704,"Manan Suri,  Puneet Mathur,  Franck Dernoncourt,  Kanika Goswami,  Ryan A. Rossi,  Dinesh Manocha","approach, resource",A,citation report,"text, visual data, tabular data",intermediate text,attribution,document-grounded question answering,"paragraph, image, table",multiple,no,no,post-retrieval,chain-of-thought,no,no,question answering,VisDoMBench,VisDoMBench
Search Engines in an AI Era: The False Promise of Factual and Verifiable Source-Cited Responses,"Large Language Model (LLM)-based applications are graduating from research prototypes to products serving millions of users, influencing how people write and consume information. A prominent example is the appearance of Answer Engines: LLM-based generative search engines supplanting traditional search engines. Answer engines not only retrieve relevant sources to a user query but synthesize answer summaries that cite the sources. To understand these systems' limitations, we first conducted a study with 21 participants, evaluating interactions with answer vs. traditional search engines and identifying 16 answer engine limitations. From these insights, we propose 16 answer engine design recommendations, linked to 8 metrics. An automated evaluation implementing our metrics on three popular engines (You.com, Perplexity.ai, BingChat) quantifies common limitations (e.g., frequent hallucination, inaccurate citation) and unique features (e.g., variation in answer confidence), with results mirroring user study insights. We release our Answer Engine Evaluation benchmark (AEE) to facilitate transparent evaluation of LLM-based applications.",2024,arxiv,arxiv,https://arxiv.org/abs/2410.22349,"Pranav Narayanan Venkit,  Philippe Laban,  Yilun Zhou,  Yixin Mao,  Chien-Sheng Wu","evaluation, resource",A,"in-line citations, citation report",text,final response,"attribution, citation",no,document,multiple,no,no,post-retrieval,no,no,no,question answering,AEE Corpus,"AEE, User Study"
